Id,adar1,jaccard1,jaccard2,jaccard3,cosine1,cosine2,cosine3,knn1,knn2,knn3,knn4,common_neighbors1,common_neighbors2,common_neighbors3
21,0,0,0,0,0,0,0,0.5,0.133630621,0.633630621,0.06681531,0,0,0
22,1.092335848,5.88E-05,0.012088808,0.001434342,4.20E-06,4.56E-06,0.000103845,0.277350098,0.025958707,0.303308805,0.00719965,6,1698.416667,3.227242077
23,0,0,0.005248242,0.019339839,0,0.000918222,0.000182946,0.111803399,0.377964473,0.489767872,0.042257713,0,1.291139241,23.66666667
24,0,0,0.001246865,0.000521014,0,0.001246865,6.77E-06,0.113227703,0.707106781,0.820334485,0.080064077,0,0.038961039,3
25,0.706845679,0.00990099,0.031719035,0.024695539,0.000629195,0.003861271,6.94E-05,0.041134503,0.242535625,0.283670129,0.009976583,6,1.769491525,67.5625
26,0,0,0.003963581,0.001556618,0,0.001531585,1.35E-05,0.084818893,0.5,0.584818893,0.042409446,0,0.18115942,8.333333333
27,0.121249128,0.004065041,0.003970709,0.000112747,8.22E-05,0.00014787,1.70E-06,0.12803688,0.074535599,0.202572479,0.009543306,1,1.916666667,1.759776536
28,0,0,0.015149978,0.000406007,0,0.000497272,8.90E-07,0.045548752,0.069006556,0.114555308,0.003143162,0,4.326403326,9.956937799
29,0,0,0.004865554,2.68E-05,0,0.000240123,4.69E-07,0.130188911,0.073521462,0.203710373,0.009571679,0,1.534482759,0.483695652
30,0,0,0.000466248,0.011395674,0,0.000101537,2.11E-05,0.033614632,0.40824829,0.441862923,0.013723116,0,0.239819005,43.8
31,0,0,0,0,0,0,0,0.162221421,0.140028008,0.30224943,0.022715543,0,0,0
32,5.083882848,0.037037037,0.067904129,0.012475456,0.000102287,0.000487809,1.91E-05,0.034020691,0.041451334,0.075472024,0.001410203,52,78.02665122,117.1652324
33,0,0,0.004135694,1.07E-05,0,0.000519631,4.30E-07,0.204124145,0.301511345,0.50563549,0.061545745,0,0.47826087,1.3
34,0,0,0.012534016,0.001106197,0,0.000231661,1.07E-05,0.097128586,0.089087081,0.186215667,0.008652902,0,6.4,6.832
35,0.198277951,0.019230769,0.041458478,0.112903226,0.019230769,0.041458478,0.002605459,0.150755672,0.707106781,0.857862453,0.106600358,1,0.418604651,21
36,2.56694558,0.005801527,0.02664115,0.008433077,3.74E-05,6.69E-05,8.33E-05,0.080845208,0.020277678,0.101122886,0.001639353,19,119.9078947,7.362813657
37,4.025840475,0.073717949,0.026067826,0.044749513,0.000856101,0.001259613,0.000419497,0.071428571,0.125988158,0.197416729,0.008999154,23,10.06153846,27
38,0.320248213,0.004065041,0.013551476,0.007209308,0.00021097,0.001675511,2.99E-05,0.046574643,0.21821789,0.264792534,0.01016342,2,0.767391304,20.05
39,0.483655732,0.000603792,0.020686267,0.036194472,5.49E-05,0.002403322,7.97E-06,0.01100697,0.288675135,0.299682104,0.003177438,5,2.086998667,1572.818182
40,0.963061146,0.020242915,0.022026146,0.039856627,0.0015006,0.005861999,0.000396256,0.065372045,0.25819889,0.323570935,0.016878989,5,1.206008584,20.28571429
41,0,0,0.009467879,0.01002862,0,0.003374854,0.000121265,0.08304548,0.377964473,0.461009953,0.031388241,0,0.201388889,4.833333333
42,0.326102483,0.010752688,0.008862217,0.00819154,0.000301796,0.000754797,8.65E-05,0.085435766,0.144337567,0.229773333,0.012331591,2,2.147058824,6.595744681
43,0.157434653,0.011494253,0.002604161,9.60E-05,0.002906977,0.000710258,5.59E-07,0.083624201,0.447213595,0.530837797,0.03739788,2,0.676056338,36.5
44,0.237829513,0.027027027,0.009933613,0.021869394,0.00952381,0.00477019,0.000883584,0.169030851,0.5,0.669030851,0.084515425,1,0.264705882,3.333333333
45,0,0,0.002640657,0.001816442,0,0.000141011,7.25E-06,0.046423835,0.169030851,0.215454685,0.00784706,0,0.723542117,11
46,0,0,0.001192618,0.00106617,0,0.000119772,7.03E-06,0.079305159,0.288675135,0.367980293,0.022893427,0,0.664556962,9.636363636
47,0.227269922,0.001030928,0.027925532,0.000995085,0.000257821,0.008981868,3.44E-07,0.018650096,0.447213595,0.465863692,0.008340577,3,0.769311065,563.25
48,0,0,0.000347679,4.36E-05,0,0.000347679,9.01E-08,0.05,0.707106781,0.757106781,0.035355339,0,0.042606516,18
49,2.398867453,0.00239439,0.03290645,0.023219705,5.73E-05,7.43E-05,0.000747727,0.174077656,0.03273853,0.206816186,0.005699047,14,347.34375,7.005364807
50,3.399148232,0.081545064,0.375960403,0.325608854,0.003472222,0.020194029,0.002013495,0.086710997,0.2,0.286710997,0.017342199,19,17.83333333,110.4583333
51,0,0,0,0,0,0,0,0.087370406,0.577350269,0.664720675,0.050443327,0,0,0
52,5.272537015,0.289855072,0.158797973,0.261658544,0.011299435,0.007363105,0.01048967,0.182574186,0.23570226,0.418276446,0.043033148,20,15.31034483,18.52941176
53,0,0,0,0,0,0,0,0.118678166,0.577350269,0.696028435,0.068518871,0,0,0
54,2.206922553,0.0041841,0.018979784,0.004741326,4.36E-05,6.31E-05,6.42E-05,0.101015254,0.017067232,0.118082487,0.001724051,17,134.4226804,3.706585082
55,5.784407594,0.016462642,0.013202797,0.027587187,4.94E-05,0.000279642,3.73E-05,0.022581938,0.100503782,0.123085719,0.00226957,39,9.849489796,137.4285714
56,0.185560714,0.01,0.049644024,0.095878616,0.005050505,0.029090078,0.001230633,0.101534617,0.577350269,0.678884886,0.058621038,1,0.59375,29
57,0,0,0.004538521,0.003492938,0,0.001089537,2.22E-05,0.078086881,0.40824829,0.486335171,0.031878836,0,0.883435583,37.6
58,0,0,0.003835704,0.012711894,0,0.002281473,3.50E-05,0.041702883,0.577350269,0.619053152,0.024077171,0,0.06445993,21
59,0,0,0.007702585,8.27E-06,0,0.001006423,3.18E-07,0.196116135,0.196116135,0.39223227,0.038461538,0,0.44,0.44
60,0.090785432,0.000938086,0.008154513,0.001428838,9.06E-06,0.000233356,2.24E-06,0.032897585,0.092450033,0.125347617,0.003041383,1,3.005417118,24.92241379
61,0,0,0,6.95E-05,0,0,7.72E-07,0.333333333,0.707106781,1.040440115,0.23570226,0,0,53
62,0,0,0.000187157,0.007282061,0,2.41E-05,2.80E-05,0.047036043,0.333333333,0.380369377,0.015678681,0,0.195121951,11.375
63,0.088114179,0.00155521,0.004917167,0.001115264,1.02E-05,7.60E-05,6.35E-06,0.066226618,0.05,0.116226618,0.003311331,1,7.881057269,5.060150376
64,0.311129545,0.000871586,0.008435587,0.017044955,9.70E-05,0.001263797,9.46E-06,0.01709714,0.316227766,0.333324906,0.00540659,3,0.913157895,348.4444444
65,15.37766919,0.004039238,0.003197681,0.003621735,7.24E-06,1.95E-05,9.09E-06,0.041775599,0.035267281,0.07704288,0.001473312,77,122.3041958,24.45579078
66,0.275755563,0.004484305,0.005680042,0.004338419,0.000118671,0.000191736,8.11E-06,0.040160966,0.156173762,0.196334728,0.006272089,3,3.549273021,57.9
67,0,0,0.00039913,0.000966943,0,8.33E-05,3.56E-06,0.058621038,0.40824829,0.466869329,0.023931939,0,0.1,5.8
68,0,0,0.001564768,0.000260598,0,0.001564768,1.00E-06,0.062017367,0.707106781,0.769124148,0.043852901,0,0.065637066,18
69,0.402022456,0.011952191,0.006345356,0.010631181,0.000343525,0.000310653,7.00E-05,0.072168784,0.15430335,0.226472134,0.011135885,3,2.298429319,14.92682927
70,0,0,0.00690788,0.000217828,0,0.000283928,1.62E-06,0.084515425,0.092450033,0.176965458,0.007813454,0,2.647482014,3.387931034
71,0.177648329,0.014492754,0.00367662,0.001960956,0.001211387,0.000360239,1.65E-05,0.11785113,0.267261242,0.385112372,0.031497039,2,0.971830986,14.38461538
72,0,0,0.001152136,0.000632734,0,0.000219647,1.54E-06,0.044151079,0.377964473,0.422115552,0.016687539,0,0.12109375,11.16666667
73,0,0,0.000260045,0.000206549,0,0.000260045,2.32E-06,0.110431526,0.707106781,0.817538307,0.078086881,0,0.111111111,11
74,1.130194507,0.033333333,0.025941465,0.009325961,0.000416858,0.000479912,6.67E-05,0.080064077,0.081649658,0.161713735,0.006537205,10,19.6516129,22.83892617
75,0,0,0.007934237,6.84E-05,0,0.000513579,1.24E-06,0.132453236,0.073922127,0.206375363,0.009791225,0,3.767857143,1.159340659
76,0.292272524,0.002621232,0.009441296,0.023637014,0.00065703,0.002956699,8.38E-05,0.037345684,0.447213595,0.48455928,0.016701498,2,0.304469274,58.75
77,0,0,0.047337278,6.59E-06,0,0.001062982,3.30E-06,0.707106781,0.096673649,0.80378043,0.068358593,0,8,0.08490566
78,0.073830359,0.00127551,0.007755642,0.001347431,0.000160875,0.001614798,2.07E-06,0.036060922,0.333333333,0.369394256,0.012020307,1,0.58984375,59.25
79,0.806076889,0.011128776,0.011176205,0.001360302,8.21E-05,0.000124304,7.77E-06,0.081110711,0.047404546,0.128515257,0.003845016,7,11.2781457,8.380630631
80,0,0,0.010422441,0.001991144,0,0.003951149,6.56E-06,0.061313934,0.5,0.561313934,0.030656967,0,0.532075472,106.6666667
81,0,0,0,2.18E-05,0,0,1.39E-07,0.140028008,0.707106781,0.84713479,0.099014754,0,0,9
82,0,0,0.001635792,0.001013111,0,0.000131035,6.47E-06,0.078086881,0.242535625,0.320622506,0.01893885,0,0.687116564,8.125
83,0.630849672,0.011326861,0.029993584,0.001429204,0.000234931,0.001006654,2.51E-06,0.044022545,0.137360564,0.181383109,0.006046962,7,8.425242718,96.80769231
84,2.629705039,0.013910355,0.051115799,0.010409423,5.80E-05,0.000619703,8.36E-06,0.024390244,0.060192927,0.08458317,0.00146812,27,31.94107143,197.4363636
85,0,0,0.0015108,4.13E-07,0,0.000255507,1.33E-08,0.176776695,0.129099445,0.30587614,0.022821773,0,0.129032258,0.06779661
86,1.333687462,0.00811124,0.013647457,0.004184908,3.57E-05,0.00029194,3.93E-06,0.026117585,0.061199006,0.087316591,0.00159837,14,9.890784983,56.18045113
87,0,0,0.00866239,0.000423607,0,0.000710541,2.70E-06,0.079056942,0.182574186,0.261631127,0.014433757,0,1.144654088,7.75862069
88,2.772953028,0.0165538,0.014698063,0.014354528,4.82E-05,0.000150164,4.83E-05,0.038807526,0.038461538,0.077269065,0.001492597,22,28.83257919,30.56740741
89,0,0,0.001978988,0.000205696,0,0.00044779,8.58E-06,0.204124145,0.40824829,0.612372436,0.083333333,0,1.043478261,5.6
90,0.540912138,0.006006006,0.014872626,0.004640767,0.000103135,0.000106113,8.60E-05,0.124034735,0.057166195,0.18120093,0.007090594,4,24.484375,4.639344262
91,0,0,0.004692082,1.92E-06,0,7.86E-05,3.20E-07,0.40824829,0.115470054,0.523718344,0.047140452,0,1.6,0.121621622
92,3.51212043,0.010438413,0.025079272,0.020791851,9.35E-05,0.000565492,1.64E-05,0.019117978,0.092847669,0.111965647,0.00177506,30,9.183546618,226.0956522
93,0,0,0.001056713,1.09E-06,0,4.07E-05,6.82E-08,0.267261242,0.08304548,0.350306722,0.022194838,0,0.307692308,0.027777778
94,0.77664934,0.00756859,0.037639109,0.005048597,6.95E-05,0.000853674,6.98E-06,0.032686023,0.090166963,0.122852986,0.002947199,8,12.90160428,100.6147541
95,1.04569593,0.009605123,0.010095317,0.010889888,4.11E-05,9.90E-05,3.41E-05,0.056796183,0.1,0.156796183,0.005679618,9,8.627831715,42.84848485
96,0,0,0.010810926,0.00060169,0,0.000675133,2.18E-06,0.058925565,0.133630621,0.192556186,0.00787426,0,1.540069686,11.89090909
97,12.93450614,0.036023457,0.080893419,0.033587933,9.06E-05,0.000620014,1.88E-05,0.017492786,0.047891314,0.0653841,0.000837752,129,67.96418733,511.5011494
98,7.30624752,8.87E-05,0.000313741,0.005654373,2.05E-07,6.96E-07,3.42E-05,0.050315461,0.022233204,0.072548665,0.001118674,33,223.3426396,8.087042532
99,0,0,0.000496735,2.84E-06,0,2.74E-05,1.35E-07,0.21821789,0.223606798,0.441824688,0.048795004,0,0.2,0.210526316
100,0.495530894,0.00575374,0.006845524,0.004554253,3.75E-05,5.99E-05,2.84E-05,0.074743509,0.08304548,0.157788989,0.006207111,5,16.20224719,15.90972222
101,1.594890892,0.024691358,0.028176809,0.030034388,0.002291826,0.002384005,0.004374885,0.377964473,0.066226618,0.444191091,0.025031309,6,7.333333333,1.325991189
102,0.569131124,0.004487659,0.010422269,0.015065272,0.000375657,0.00115058,1.79E-05,0.027994626,0.277350098,0.305344724,0.007764312,6,2.341960784,266
103,3.927775795,0.013556258,0.007754013,0.00310343,4.49E-05,3.67E-05,1.07E-05,0.056165596,0.085125653,0.141291249,0.004781133,30,31.27531646,26.81751825
104,0.171557614,0.015151515,0.008618605,0.003236216,0.001035197,0.000220295,0.000162538,0.213200716,0.145864991,0.359065708,0.031098521,1,3.904761905,1.782608696
105,0.227559807,0.00952381,0.005922423,0.050847458,0.00952381,0.005922423,0.001058201,0.104257207,0.707106781,0.811363988,0.073720978,1,0.087912088,9
106,0.161489254,0.009259259,0.012819963,0.079787934,0.004672897,0.007057913,0.001052987,0.103695169,0.577350269,0.681045439,0.059868434,1,0.52173913,30.5
107,0,0,9.61E-05,4.56E-05,0,2.37E-06,5.20E-07,0.107211253,0.150755672,0.257966926,0.016162705,0,0.093023256,0.186046512
108,0,0,3.49E-05,3.23E-05,0,6.72E-08,9.24E-07,0.164398987,0.124034735,0.288433722,0.020391185,0,0.222222222,0.09375
109,0.657236511,0.004296455,0.004142685,0.010796878,0.000169248,0.000314395,4.74E-05,0.045267873,0.19245009,0.237717963,0.008711806,4,0.714579055,37.92307692
110,0.376515425,0.011764706,0.065947606,0.164367556,0.005882353,0.037097511,0.001575434,0.077151675,0.577350269,0.654501944,0.04454354,2,0.598802395,51
111,0,0,0.002049775,5.26E-06,0,0.000247261,1.96E-07,0.19245009,0.125,0.31745009,0.024056261,0,0.307692308,0.126984127
112,0,0,0,0,0,0,0,0.092450033,0.288675135,0.381125167,0.026688026,0,0,0
113,2.197643317,0.023890785,0.115120174,0.051659128,0.001498288,0.011115908,0.00025844,0.15249857,0.242535625,0.395034195,0.036986336,14,7.761904762,134.875
114,0.452776812,0.012931034,0.03424751,0.020366086,0.000969619,0.00687096,0.000155136,0.067419986,0.25819889,0.325618876,0.017407766,3,1.337899543,21.92857143
115,0,0,0.045633766,0.004919354,0,0.001829705,6.16E-06,0.03496418,0.171498585,0.206462765,0.005996307,0,9.695226438,240.1515152
116,0,0,0.002096645,0.000867752,0,0.000171854,9.11E-06,0.169030851,0.277350098,0.446380949,0.046880723,0,0.764705882,8.916666667
117,0,0,0.003622812,1.37E-05,0,0.000194412,3.57E-07,0.158113883,0.078326045,0.236439928,0.012384435,0,0.820512821,0.197530864
118,0,0,0.001010072,0.001557515,0,6.53E-05,1.52E-05,0.0949158,0.23570226,0.33061806,0.022371869,0,1.127272727,7.588235294
119,0,0,0.000221028,0.000736662,0,1.07E-05,4.16E-05,0.242535625,0.213200716,0.455736341,0.051708769,0,0.375,0.380952381
120,9.661758355,0.025136154,0.011337289,0.031866279,4.27E-05,9.47E-05,5.22E-05,0.025632601,0.104828484,0.130461084,0.002687027,60,23.85601578,151.0666667
121,7.522425796,0.047619048,0.041537781,0.025445555,0.000425443,0.000223802,0.000276581,0.150755672,0.061898446,0.212654118,0.009331542,47,83.72093023,21
122,0.167664817,0.001173709,0.018447986,0.002604251,3.16E-05,0.002192292,3.02E-06,0.024678197,0.160128154,0.184806351,0.003951674,2,1.601462523,71.81578947
123,0.374397494,0.00525394,0.012639665,0.000451256,6.23E-05,0.000194813,4.93E-06,0.109108945,0.045980049,0.155088994,0.005016835,3,10.36144578,2.790254237
124,0.375436703,0.024691358,0.045630783,0.005951248,0.001349528,0.003292502,0.000257629,0.2,0.131306433,0.331306433,0.026261287,2,7.375,3.385964912
125,0.099058777,0.013333333,0.000693266,0.000116922,0.002816901,0.000147125,1.66E-06,0.120385853,0.40824829,0.528634144,0.049147319,1,0.176470588,2.4
126,0.073830359,0.002403846,0.021111421,0.003066996,0.000139237,0.001640447,1.11E-05,0.06495698,0.229415734,0.294372714,0.014902153,1,3.5,95.44444444
127,0.822336944,0.021472393,0.012449053,0.006981833,0.000401837,0.000529721,3.75E-05,0.061662642,0.123091491,0.184754133,0.007590146,7,6.026717557,26.06153846
128,0,0,0,5.02E-05,0,0,5.59E-07,0.166666667,0.707106781,0.873773448,0.11785113,0,0,6
129,0,0,0.00545504,0.000234655,0,0.000164999,2.08E-06,0.093658581,0.101015254,0.194673836,0.009460945,0,3.433628319,5.288659794
130,0,0,0.005015244,3.41E-05,0,0.005015244,3.41E-07,0.099503719,0.707106781,0.8066105,0.070359754,0,0.26,26
131,0.172013498,0.007142857,0.00641284,0.006819077,0.000257036,0.000403522,3.45E-05,0.063500064,0.176776695,0.240276759,0.011225331,2,2.647773279,21.80645161
132,1.758347512,0.047368421,0.024707824,0.034970945,0.001642935,0.002500277,0.00121923,0.208514414,0.166666667,0.375181081,0.034752402,9,13.04545455,10.42857143
133,0,0,0.001877539,0.005813197,0,5.49E-05,5.47E-06,0.014078922,0.12803688,0.142115802,0.001802621,0,0.707573354,59.51666667
134,7.24201654,0.10403397,0.03509928,0.031263846,0.000798579,0.000805815,0.000166425,0.056433265,0.074124932,0.130558196,0.004183112,49,19.03194888,40.10497238
135,0.955728203,0.019512195,0.056342772,0.0455446,0.003921569,0.020121664,0.001048416,0.070186241,0.40824829,0.478434531,0.028653413,4,0.702970297,28.8
136,0.196845826,0.007220217,0.005129149,0.000677262,0.000104232,0.000343966,5.88E-06,0.090535746,0.079808688,0.170344434,0.007225539,2,4.157024793,3.820512821
137,1.86998176,0.004784689,0.005672616,0.005635757,6.15E-05,0.000166124,9.32E-05,0.111111111,0.085435766,0.196546877,0.009492863,7,12.9625,3.352941176
138,0,0,0.011358875,0.007125187,0,0.002249901,0.000208268,0.15249857,0.333333333,0.485831904,0.050832857,0,0.571428571,3
139,0,0,0,0,0,0,0,0.085125653,0.707106781,0.792232434,0.060192927,0,0,0
140,0.073830359,0.000149388,0.006384473,0.007378506,7.47E-05,0.003531575,3.95E-06,0.012253577,0.577350269,0.589603846,0.007074606,1,0.373779847,1252
141,0,0,0.000199135,1.92E-05,0,6.72E-05,4.48E-07,0.150755672,0.5,0.650755672,0.075377836,0,0.046511628,0.666666667
142,0.138553216,0.006993007,0.025906778,0.013859465,0.001785714,0.01088549,0.000103519,0.087038828,0.447213595,0.534252423,0.038924947,1,0.893129771,33.25
143,0,0,0.010865635,0.01963294,0,0.000879785,5.06E-06,0.014766684,0.25819889,0.272965574,0.003812741,0,2.098146129,689.8571429
144,0.379785671,0.086956522,0.074392292,0.0193742,0.03030303,0.030557346,0.000959792,0.208514414,0.5,0.708514414,0.104257207,2,0.545454545,4
145,5.627413942,0.035862069,0.032511318,0.141561588,0.001284331,0.002513222,0.000385393,0.074535599,0.229415734,0.303951333,0.017099639,26,7.56424581,184.6666667
146,0.076094478,0.005102041,0.009724669,0.000377051,0.000113999,0.000424551,2.98E-06,0.088735651,0.120385853,0.209121504,0.010682517,1,3.896825397,8.485294118
147,0,0,0,0,0,0,0,0.40824829,0.707106781,1.115355072,0.288675135,0,0,0
148,0.776587219,0.003043478,0.002683318,0.001801959,1.04E-05,5.14E-05,7.56E-06,0.055215763,0.090909091,0.146124854,0.005019615,7,12.57798165,16.36666667
149,0,0,0.000106681,0.001811919,0,2.84E-05,6.96E-06,0.052777981,0.447213595,0.499991577,0.023603031,0,0.05027933,5.75
150,0,0,0.001329987,0.000310175,0,0.000242757,7.84E-06,0.158113883,0.316227766,0.474341649,0.05,0,0.179487179,0.888888889
151,0.949748327,0.018612521,0.033293238,0.004353877,0.000621434,0.00144358,8.99E-06,0.041848698,0.176776695,0.218625393,0.007397874,11,9.566666667,176.516129
152,0,0,0.00331928,0.000150873,0,0.00167587,7.59E-07,0.071795816,0.577350269,0.649146085,0.041451334,0,0.409326425,41
153,0,0,0.000208371,0.007714794,0,5.44E-05,3.49E-05,0.06681531,0.447213595,0.514028906,0.029880715,0,0.179372197,12.75
154,0,0,0.031653543,4.13E-05,0,0.001351425,2.96E-06,0.267261242,0.119522861,0.386784103,0.031943828,0,4.461538462,1.057971014
155,0.86628076,0.001696558,0.009998695,0.008404371,2.82E-05,0.00031871,4.17E-06,0.01645993,0.127000127,0.143460057,0.002090413,7,3.178861789,227.3606557
156,12.80979862,0.028414299,0.008324697,0.020659216,3.33E-05,7.30E-05,3.06E-05,0.027461752,0.052486388,0.07994814,0.001441368,93,32.5245283,97.74309392
157,0,0,5.90E-05,0.000473046,0,7.66E-06,2.02E-06,0.062994079,0.333333333,0.396327412,0.020998026,0,0.067729084,2.125
158,0,0,0.000161706,9.72E-05,0,0.000161706,1.18E-07,0.034773407,0.707106781,0.741880188,0.024588512,0,0.007263923,7
159,0,0,0.013672604,6.47E-05,0,0.013672604,7.04E-07,0.105999788,0.707106781,0.813106569,0.074953169,0,0.068181818,7
160,0.491056866,0.00802139,0.038116303,0.070371042,0.001612903,0.012497395,0.000371302,0.054717566,0.40824829,0.462965856,0.022338353,3,0.717717718,52.8
161,0.185901429,0.003527337,0.020813471,0.001874712,0.000276702,0.004488741,5.57E-06,0.042914108,0.267261242,0.310175349,0.011469278,2,1.005535055,46.76923077
162,0,0,0.01451874,0.003314615,0,0.00073579,1.94E-05,0.072357461,0.171498585,0.243856046,0.012409202,0,5.668421053,32.87878788
163,5.370404479,0.428571429,0.161322869,0.250017257,0.017269737,0.007680225,0.010507858,0.204124145,0.204124145,0.40824829,0.041666667,21,15.43478261,18.73913043
164,0.3494432,0.010309278,0.031535664,0.001713059,0.0004914,0.002456244,5.33E-06,0.052057921,0.208514414,0.260572335,0.010854827,4,5.820652174,97.59090909
165,0,0,0.000167035,0.000229363,0,1.91E-05,9.96E-07,0.208514414,0.316227766,0.52474218,0.065938047,0,0.181818182,17.77777778
166,10.33010123,0.051990252,0.027284744,0.04699412,0.000165055,0.000327138,0.00019482,0.035028472,0.070534562,0.105563034,0.002470718,64,22.54914005,70.77
167,0,0,1.48E-05,1.69E-05,0,5.31E-07,4.33E-07,0.158113883,0.185695338,0.343809221,0.029361011,0,0.717948718,1
168,0,0,0.003815093,0.000281427,0,0.000147652,1.89E-06,0.081923192,0.136082763,0.218005956,0.011148334,0,2.324324324,6.509433962
169,0.176832497,0.004975124,0.030253535,0.003207618,9.43E-05,0.000998344,1.01E-05,0.054635836,0.125988158,0.180623994,0.006883468,2,9.997005988,55.64516129
170,25.57510689,0.00016387,0.000879315,0.007145848,6.12E-07,7.04E-07,5.70E-05,0.084515425,0.01437102,0.098886446,0.001214573,125,811.5611511,7.905184879
171,0.958559149,0.021377672,0.044147255,0.002479013,0.000199111,0.000760771,1.68E-05,0.076471911,0.063500064,0.139971975,0.004855971,9,28.38235294,22.17408907
172,0.643837221,0.023121387,0.02039232,0.017639742,0.000522876,0.00059103,0.00023598,0.101534617,0.114707867,0.216242483,0.011646819,4,6.65625,9.8
173,0,0,0.000484068,0.00017088,0,2.00E-05,3.77E-06,0.149071198,0.19245009,0.341521288,0.028688766,0,0.681818182,1.153846154
174,0.405900805,0.011204482,0.008254579,0.002654696,0.000333667,0.000407152,9.55E-06,0.05913124,0.162221421,0.221352661,0.009592354,4,2.954385965,29.48648649
175,0.273493392,0.005681818,0.004181193,0.002437017,0.000133824,4.41E-05,6.77E-05,0.147441956,0.062017367,0.209459323,0.009143962,2,5.888888889,1.096525097
176,1.364475536,0.004198473,0.009654074,0.006789245,6.36E-06,9.72E-05,1.70E-05,0.027186362,0.027961774,0.055148137,0.000760179,11,22.30769231,23.62676056
177,0.868620811,0.019736842,0.028041574,0.02640504,0.00028006,0.000490213,0.000161335,0.070014004,0.097590007,0.167604011,0.006832667,6,20.11330049,40.40384615
178,0.194773054,0.008733624,0.044288853,0.002112972,0.00017094,0.00139633,1.54E-05,0.080064077,0.114707867,0.194771944,0.009183979,2,11.90967742,24.76
179,0,0,0.003067606,0.002661971,0,0.001845596,3.36E-05,0.100503782,0.577350269,0.677854051,0.058025885,0,0.030612245,2.5
180,0.139663455,0.001984127,0.007923033,0.001797018,2.55E-05,0.000113659,2.40E-05,0.101534617,0.050964719,0.152499336,0.005174683,1,7.260416667,1.8125
181,7.924534555,0.001351175,0.120589582,0.117177793,1.37E-05,0.003382342,4.75E-06,0.004036033,0.1,0.104036033,0.000403603,83,19.11933928,11862.0404
182,3.952129043,0.062330623,0.017367833,0.038365351,0.000658366,0.000302621,0.000265938,0.06681531,0.125,0.19181531,0.008351914,23,13.44843049,42.07936508
183,0.107742856,0.000902527,0.004365637,0.004607709,4.85E-06,6.45E-05,1.27E-05,0.03400102,0.076923077,0.110924097,0.002615463,1,3.798611111,18.32142857
