adar1,jaccard1,jaccard2,jaccard3,cosine1,cosine2,cosine3,knn1,knn2,knn3,knn4,common_neighbors1,common_neighbors2,common_neighbors3
2.985439808,0.002412451,0.08685367,0.047369373,3.10E-05,0.004999335,5.08E-06,0.008972309,0.11250879,0.121481099,0.001009464,31,13.59125674,2256.564103
131.5429467,0.016947107,0.004331875,0.021825105,5.14E-06,1.32E-05,1.11E-05,0.016835876,0.040723148,0.057559024,0.00068561,702,243.1511199,338.4784053
6.224651469,0.003975696,0.017245781,0.016317066,1.25E-05,0.000485782,1.02E-05,0.008751751,0.055384878,0.064136628,0.000484715,53,10.23492915,411.4830769
0,0,0.631417118,1,0,0.631417118,0.000116347,0.010785786,0.707106781,0.717892567,0.007626702,0,1,8595
0,0,0.035521217,0.178241178,0,0.014372775,0.000212775,0.034060135,0.377964473,0.412024608,0.012873521,0,1.210220674,184.3333333
4.166011061,0.005104872,0.033369137,0.018647699,1.67E-05,0.001603704,4.46E-06,0.010697788,0.056254395,0.066952183,0.000601798,46,17.16596086,477.1269841
0.916192283,0.013235294,0.040735117,0.047258999,0.00035503,0.003967759,0.000142047,0.039223227,0.158113883,0.19733711,0.006201737,9,4.320493066,71.94871795
0,0,0.402966021,0.500471263,0,0.379708271,0.000169088,0.018405254,0.577350269,0.595755524,0.010626279,0,1.0149102,1503
3.721071666,0.046296296,0.052661856,0.041855778,0.000747943,0.001253503,0.000672266,0.118678166,0.113960576,0.232638742,0.013524632,20,35.15714286,16.40789474
145.0772738,0.0317871,0.002435656,0.024280318,7.83E-06,8.37E-05,7.25E-06,0.007621606,0.067419986,0.075041592,0.000513849,688,18.01312885,867.9954338
7.523838037,0.005412511,0.065080024,0.03012341,2.73E-05,0.002354872,5.78E-06,0.008972309,0.070534562,0.079506871,0.000632858,70,19.53763787,1295.77
0.089416077,2.49E-05,0.121675424,0.361936013,8.31E-06,0.076704742,1.06E-05,0.004999,0.5,0.504999,0.0024995,1,1.16183931,15536
0.088086701,5.80E-05,0.116372856,0.267958921,1.45E-05,0.077182765,1.76E-05,0.007621606,0.447213595,0.454835201,0.003408486,1,1.27001278,5473
5.549131127,0.006193633,0.015623302,0.009967644,9.97E-06,0.001198422,3.43E-06,0.010785786,0.038749213,0.049534999,0.000417941,57,15.23048284,196.8511278
0,0,0.631417118,1,0,0.631417118,0.000116347,0.010785786,0.707106781,0.717892567,0.007626702,0,1,8595
4.879685153,0.001244029,0.042605326,0.035326342,9.30E-06,0.002975943,2.46E-06,0.004999,0.086066297,0.091065297,0.000430245,50,9.191728102,2755.067164
0.096378391,0.000116333,0.383920691,0.519347176,5.82E-05,0.331589191,6.09E-05,0.010785786,0.577350269,0.588136055,0.006227176,1,1.176265271,5055
2.004173948,0.001635641,0.096624263,0.057476059,2.88E-05,0.006584575,6.15E-06,0.008972309,0.131306433,0.140278742,0.001178122,21,12.22566621,2758.280702
0.1080807,5.80E-05,0.184027696,0.39697272,1.93E-05,0.11779819,2.83E-05,0.007621606,0.5,0.507621606,0.003810803,1,1.275008714,7326.333333
3.252989217,0.003643378,0.08403524,0.077055128,6.09E-05,0.002729098,1.25E-05,0.010380685,0.12803688,0.138417565,0.001329111,34,16.53885117,2564.283333
2.675844424,0.001682214,0.030670263,0.057801427,4.11E-05,0.002933188,1.56E-05,0.008751751,0.15430335,0.1630551,0.001350424,22,4.301493681,1370.414634
0.131520121,0.000116333,0.37534638,0.527730758,5.82E-05,0.327565461,7.43E-05,0.010785786,0.577350269,0.588136055,0.006227176,1,1.064805119,4576
0.487155299,0.00608828,0.05533429,0.115263837,0.000559441,0.011133232,0.000214917,0.039223227,0.288675135,0.327898362,0.01132277,4,2.476117103,146.4545455
0,0,0.216431307,1,0,0.216431307,7.81E-05,0.008972309,0.707106781,0.716079091,0.006344381,0,1,12803
0,0,0.052866842,0.181072437,0,0.020779054,0.000152225,0.027745683,0.377964473,0.405710156,0.010486883,0,1.265793529,278.3333333
0,0,0.100348702,0.334241672,0,0.034900609,0.020890431,0.25,0.5,0.75,0.125,0,1.4,7.333333333
15.37395957,0.015366556,0.164262124,0.108557098,7.40E-05,0.002021176,2.45E-05,0.010380685,0.069006556,0.079387241,0.000716335,144,52.03771958,2320.449761
3.938008989,0.002944139,0.0626391,0.034270408,2.09E-05,0.002760896,5.57E-06,0.008972309,0.083624201,0.09259651,0.000750302,38,14.99847033,1366.042254
0.083581765,5.80E-05,0.184649388,0.501611715,2.90E-05,0.151197631,2.91E-05,0.007621606,0.577350269,0.584971875,0.004400336,1,1.032299291,8898
15.62800645,0.010100249,0.038708106,0.036668594,3.00E-05,0.000820065,1.24E-05,0.008751751,0.053994925,0.062746675,0.00047255,134,22.80857909,871.5146199
0.258452423,0.000115955,0.043096212,0.078420364,8.29E-06,0.021705985,8.69E-06,0.007621606,0.25819889,0.265820496,0.00196789,2,1.116126409,1375.214286
2.506456382,0.001934685,0.052193365,0.030138111,1.36E-05,0.002477886,4.41E-06,0.008972309,0.08304548,0.092017789,0.00074511,25,12.80484663,1142.3125
0,0,0.169291339,1,0,0.169291339,0.001251564,0.044280744,0.707106781,0.751387525,0.031311215,0,1,799
2.240966747,0.000598161,0.050668173,0.062496399,1.53E-05,0.007299894,2.42E-06,0.004999,0.158113883,0.163112883,0.000790411,24,4.435686618,4565.487179
0.089222722,0.000114351,0.118635841,0.259807376,2.86E-05,0.080496218,3.03E-05,0.010697788,0.447213595,0.457911383,0.004784196,1,1.172828202,2563.5
0.089222722,5.80E-05,0.186230316,0.520297715,2.90E-05,0.152029686,3.04E-05,0.007621606,0.577350269,0.584971875,0.004400336,1,1.205762751,10392
0,0,0.631417118,1,0,0.631417118,0.000116347,0.010785786,0.707106781,0.717892567,0.007626702,0,1,8595
0.216793591,0.000628338,0.028386181,0.029846813,1.67E-05,0.011983026,1.12E-05,0.017823075,0.160128154,0.177951229,0.002853976,2,1.663489037,137.7631579
0.757529052,0.012345679,0.036406476,0.036314182,0.000340657,0.003066786,6.55E-05,0.041702883,0.160128154,0.201831037,0.006677806,8,7.355400697,124.3684211
1.587148856,0.000423676,0.051390613,0.063724081,1.25E-05,0.009070407,2.80E-06,0.004999,0.169030851,0.174029851,0.000844985,17,4.021916781,4756.764706
6.490762197,0.028722934,0.085360785,0.025239996,0.000102508,0.000834135,1.76E-05,0.022321651,0.056254395,0.078576046,0.001255691,65,55.4885344,354.3333333
0,0,0.319481332,1,0,0.319481332,0.00011439,0.010697788,0.707106781,0.717804569,0.007564478,0,1,8742
0.305878349,0.000341841,0.026282782,0.038423103,9.27E-06,0.009104097,7.99E-06,0.010697788,0.162221421,0.172919209,0.00173541,3,2.11857617,501.027027
0.400423762,7.48E-05,0.076723415,0.179634564,1.25E-05,0.038007827,7.90E-06,0.004999,0.377964473,0.382963473,0.001889445,3,1.086742472,7268.166667
2.879496054,0.003283143,0.028689828,0.020868063,2.76E-05,0.003531492,5.39E-06,0.010697788,0.090909091,0.101606879,0.000972526,29,6.873183015,501.2333333
0.102909473,7.66E-05,0.060173131,0.530969174,3.83E-05,0.041296298,4.23E-05,0.008751751,0.577350269,0.58610202,0.005052826,1,1.132439678,7394.5
0.715369718,0.000545469,0.038972498,0.042268737,1.48E-05,0.007219222,5.56E-06,0.008972309,0.162221421,0.17119373,0.001455501,7,3.840753563,1369.756757
0,0,0.19925884,1,0,0.19925884,0.000277469,0.01670849,0.707106781,0.723815271,0.011814687,0,1,3604
2.676969301,0.002063905,0.049214166,0.06797727,4.14E-05,0.003090464,9.58E-06,0.008751751,0.140028008,0.148779759,0.00122549,27,8.472079663,2213.72
0,0,0.757615747,1,0,0.757615747,0.000337838,0.018405254,0.707106781,0.725512036,0.01301448,0,1,2960
0.090689407,2.49E-05,0.085003424,0.1723661,3.56E-06,0.036243405,5.79E-06,0.004999,0.353553391,0.358552391,0.001767414,1,1.516181432,8693.142857
24.1019266,0.00471314,0.011975281,0.010913755,7.83E-06,0.000630071,3.11E-06,0.004999,0.040522045,0.045521045,0.00020257,191,9.832362864,653.8766447
1.932849265,0.005218347,0.037655783,0.030162453,4.95E-05,0.001151768,1.30E-05,0.01685021,0.095782629,0.112632839,0.001613957,19,13.44816813,442.4444444
0.10305613,5.80E-05,0.111253935,0.26931949,1.45E-05,0.075587902,1.74E-05,0.007621606,0.447213595,0.454835201,0.003408486,1,1.130242826,4871
29.32067487,0.018897638,0.044598066,0.027130345,1.72E-05,0.000492835,9.12E-06,0.008751751,0.029160592,0.037912343,0.000255206,264,65.42972041,728.0051064
0.073830359,7.66E-05,0.060314744,0.339600076,2.55E-05,0.031167157,2.61E-05,0.008751751,0.5,0.508751751,0.004375875,1,1.485024895,6465.333333
0,0,0.757615747,1,0,0.757615747,0.000337838,0.018405254,0.707106781,0.725512036,0.01301448,0,1,2960
0,0,0.280625287,0.500365896,0,0.229528018,0.000158998,0.017823075,0.577350269,0.595173344,0.010290157,0,1.177947251,1853.5
42.91636134,0.041684634,0.009995818,0.027484099,2.21E-05,6.43E-05,2.08E-05,0.01685021,0.04637389,0.0632241,0.00078141,290,59.17012212,261.5775862
0.629762149,0.000149563,0.05587027,0.09389019,9.97E-06,0.017240254,3.89E-06,0.004999,0.25,0.254999,0.00124975,6,2.036911158,5451.8
0.261606872,7.48E-05,0.071512122,0.098677228,6.23E-06,0.023154762,3.07E-06,0.004999,0.277350098,0.282349098,0.001386473,3,2.004573285,6707.416667
0.103890796,5.80E-05,0.137874391,0.344365161,1.93E-05,0.100921559,2.04E-05,0.007621606,0.5,0.507621606,0.003810803,1,1.111711398,6388
0.096490404,0.000281611,0.028478076,0.096613332,2.35E-05,0.008153845,2.97E-05,0.016835876,0.277350098,0.294185974,0.004669432,1,1.770626595,522.75
1.353710229,0.000324036,0.046546115,0.064516119,1.35E-05,0.011482667,4.20E-06,0.004999,0.2,0.204999,0.0009998,13,2.440409846,4087.083333
0.465711614,0.0078125,0.018244197,0.011930905,8.44E-05,0.000789139,0.000115364,0.081923192,0.064820372,0.146743564,0.005310292,3,8.547297297,5.434599156
37.74435964,0.003605543,0.002923709,0.007276621,6.18E-06,1.00E-05,1.96E-05,0.042601432,0.036131469,0.078732901,0.001539252,134,112.3345455,21.00915033
0.40117317,0.001607071,0.097225631,0.015187452,6.06E-06,0.002120706,8.32E-06,0.021363815,0.057543534,0.078907349,0.001229349,4,34.3543379,251.5116279
0.091868088,2.49E-05,0.117340796,0.348173364,8.31E-06,0.075206701,9.76E-06,0.004999,0.5,0.504999,0.0024995,1,1.093265026,14617.33333
0,0,0.757615747,1,0,0.757615747,0.000337838,0.018405254,0.707106781,0.725512036,0.01301448,0,1,2960
0.755126601,0.000149544,0.035862897,0.060907207,7.48E-06,0.011625319,4.09E-06,0.004999,0.21821789,0.223216891,0.001090871,6,1.443883544,2903.4
5.222726182,0.021500658,0.055111267,0.024372174,7.73E-05,0.000592011,2.10E-05,0.022321651,0.056254395,0.078576046,0.001255691,49,38.77617149,247.847619
1.562232418,0.008252427,0.043760618,0.035821127,0.000164528,0.002001688,1.98E-05,0.022355092,0.138675049,0.161030141,0.003100093,17,12.301,486.7647059
4.013049688,0.002598991,0.043447717,0.057446292,4.57E-05,0.002869787,1.37E-05,0.008751751,0.131306433,0.140058183,0.001149161,34,7.303178859,1673.824561
0.605531236,0.000347967,0.060657365,0.117201206,2.68E-05,0.027136001,1.06E-05,0.007621606,0.267261242,0.274882848,0.00203696,6,1.957592657,2595.538462
0,0,0.757615747,1,0,0.757615747,0.000337838,0.018405254,0.707106781,0.725512036,0.01301448,0,1,2960
12.72694774,0.007365957,0.054786152,0.032490584,1.84E-05,0.00167421,5.27E-06,0.007621606,0.04956816,0.057189766,0.000377789,129,29.79749041,1266.064039
12.31423696,0.012313952,0.171617719,0.131755091,8.35E-05,0.002403039,3.02E-05,0.010380685,0.081923192,0.092303877,0.000850419,115,42.11617631,2653.027027
2.596243526,0.001869159,0.053238671,0.039748734,3.07E-05,0.005253968,6.25E-06,0.008972309,0.127000127,0.135972436,0.001139484,24,7.283149505,1572.508197
0,0,0.206541979,0.501635628,0,0.160958128,0.000128333,0.015992326,0.577350269,0.593342595,0.009233173,0,1.229982093,2404
1.334382295,0.00081183,0.047613274,0.078912262,3.53E-05,0.014461513,6.68E-06,0.007621606,0.204124145,0.211745751,0.001555754,14,3.461368653,2594.782609
0.26665606,0.001333333,0.137379262,0.047675057,2.24E-05,0.006007611,2.57E-05,0.021363815,0.127000127,0.148363942,0.002713207,3,14.52511416,522.8196721
0.158029392,0.002242152,0.092722074,0.300552417,0.000564334,0.044515306,0.000732738,0.047511434,0.447213595,0.494725029,0.021247759,1,1.540723982,170.5
1.15550808,0.000298998,0.035040781,0.048353363,7.87E-06,0.007181509,2.55E-06,0.004999,0.160128154,0.165127154,0.000800481,12,2.799125328,2959.289474
3.01117988,0.000647668,0.039000215,0.03815593,1.05E-05,0.005806739,3.24E-06,0.004999,0.125988158,0.130987158,0.000629815,26,4.305110584,2793.854839
0.113029905,2.49E-05,0.115157209,0.266920672,6.23E-06,0.061846034,8.63E-06,0.004999,0.447213595,0.452212596,0.002235621,1,1.243408722,12471
0.18023672,0.000232342,0.059127654,0.074073495,1.55E-05,0.042480968,9.77E-06,0.010785786,0.25,0.260785786,0.002696446,2,1.478068645,846.9333333
0.939794157,0.001901743,0.069818678,0.099378537,0.000136184,0.033761707,8.44E-05,0.017823075,0.25819889,0.276021965,0.004601898,6,1.64219892,369.1428571
4.874488842,0.003784076,0.080714987,0.038395001,1.96E-05,0.002493403,5.28E-06,0.008972309,0.071428571,0.080400881,0.000640879,49,23.45310361,1557.548718
1.340593773,0.001501502,0.053202813,0.081135521,4.70E-05,0.003038207,1.17E-05,0.010380685,0.174077656,0.184458341,0.001807045,14,8.52085354,2477.6875
0,0,0.118173173,0.347487984,0,0.075510995,9.47E-06,0.004999,0.5,0.504999,0.0024995,0,1.067724603,14286.66667
0,0,0.137052433,0.358301712,0,0.100623782,2.20E-05,0.007621606,0.5,0.507621606,0.003810803,0,1.151446497,6616
0.107802511,7.66E-05,0.058926471,0.525198,3.83E-05,0.040737777,4.24E-05,0.008751751,0.577350269,0.58610202,0.005052826,1,1.087169667,7099
0.348680565,0.004545455,0.037522055,0.043755016,0.000174703,0.00584607,8.24E-05,0.039809371,0.188982237,0.228791608,0.007523264,3,3.901587302,93.03703704
0.27982242,0.00397878,0.029638166,0.007041334,2.53E-05,0.001279893,1.44E-05,0.043895128,0.067115606,0.111010734,0.002946048,3,14.14671815,35.98642534
5.225153761,0.004004621,0.07158888,0.031899411,1.74E-05,0.002148987,4.96E-06,0.008972309,0.065232807,0.074205117,0.000585289,52,24.04049593,1330.354701
0.312695983,0.004815409,0.038004607,0.135629094,0.000606796,0.0107131,0.000223872,0.041702883,0.333333333,0.375036216,0.013900961,3,2.580139373,204.25
0.260416037,0.000228702,0.099569405,0.208084498,4.58E-05,0.064166961,2.83E-05,0.010697788,0.40824829,0.418946078,0.004367354,2,1.048872611,1833.8
0.412114276,0.000232032,0.094568844,0.183715749,3.32E-05,0.050187517,1.42E-05,0.007621606,0.353553391,0.361174996,0.002694645,4,1.612524689,3971.142857
0.297136728,4.99E-05,0.096410704,0.253620427,1.25E-05,0.055961296,8.96E-06,0.004999,0.447213595,0.452212596,0.002235621,2,1.015169312,10182.5
0,0,0.095624014,0.074136579,0,0.007296492,3.69E-05,0.021363815,0.188982237,0.210346052,0.004037382,0,6.749315068,549.0740741
0.395839977,0.000232045,0.106893736,0.210683089,3.87E-05,0.058425608,1.49E-05,0.007621606,0.377964473,0.385586079,0.002880696,4,1.694434762,4869
0.126232369,7.80E-05,0.036722521,0.090648183,6.51E-06,0.01834501,9.20E-06,0.008972309,0.277350098,0.286322407,0.002488471,1,1.251187505,1340.666667
9.542673117,0.012350937,0.005472518,0.015109824,1.21E-05,8.86E-05,1.65E-05,0.026509257,0.065653216,0.092162473,0.001740418,58,35.1673699,105.4458874
0.093161705,7.66E-05,0.059580685,0.513278189,3.83E-05,0.04105896,3.96E-05,0.008751751,0.577350269,0.58610202,0.005052826,1,1.116660283,7292
0.875861076,0.000224327,0.056473651,0.075041976,1.07E-05,0.01384926,2.71E-06,0.004999,0.213200716,0.218199717,0.00106579,9,2.718280645,5197.809524
4.535044827,0.003124524,0.038022581,0.044378093,3.02E-05,0.001748157,1.13E-05,0.008751751,0.097590007,0.106341758,0.000854083,41,9.525469169,1196.625
0.211866986,4.99E-05,0.08108424,0.194738503,8.31E-06,0.03865646,5.73E-06,0.004999,0.377964473,0.382963473,0.001889445,2,1.449806323,9693.5
0.702509654,0.004273504,0.039843733,0.015992478,4.76E-05,0.002400138,1.53E-05,0.027745683,0.101534617,0.1292803,0.002817147,6,8.138674884,114.0729167
0,0,0.223631331,1,0,0.223631331,2.49E-05,0.004999,0.707106781,0.712105781,0.003534827,0,1,40108
0.227898512,0.000232666,0.289963281,0.364718623,7.76E-05,0.228964062,5.14E-05,0.010785786,0.5,0.510785786,0.005392893,2,1.24107039,3555.666667
0.351397749,0.000766284,0.070917199,0.115780663,8.53E-05,0.036570383,3.21E-05,0.015992326,0.316227766,0.332220092,0.005057217,3,1.813251471,787.5555556
0.672699204,0.000405868,0.060356401,0.098424834,2.26E-05,0.021163427,7.75E-06,0.007621606,0.229415734,0.23703734,0.001748516,7,3.003485535,2876.666667
5.484619995,0.003296703,0.058694853,0.042968937,2.98E-05,0.004076537,4.87E-06,0.007621606,0.094491118,0.102112724,0.000720174,57,12.88596491,2002.306306
2.380556936,0.001507334,0.057083278,0.059692668,3.87E-05,0.00963944,4.40E-06,0.007621606,0.158113883,0.165735489,0.001205082,26,6.360810968,2812.435897
0,0,0.07836847,0.182122598,0,0.049945331,4.99E-05,0.015992326,0.377964473,0.393956799,0.006044531,0,1.217958557,793.5
2.586251515,0.00069775,0.051508352,0.059520367,1.42E-05,0.006109694,2.42E-06,0.004999,0.141421356,0.146420357,0.000706965,28,5.272622766,4317.755102
0,0,0.122884104,1,0,0.122884104,0.003676471,0.060745674,0.707106781,0.767852455,0.042953678,0,1,272
4.107575729,0.001020484,0.039406004,0.034224689,9.29E-06,0.003516011,2.75E-06,0.004999,0.0949158,0.0999148,0.000474484,41,7.302861427,2669.409091
20.93862052,0.008943626,0.004866335,0.017158907,9.93E-06,0.000275656,6.96E-06,0.008972309,0.062869461,0.071841771,0.000564084,122,6.624345866,348.4761905
9.723525294,0.003099486,0.004926337,0.02978416,6.87E-06,0.000538378,5.61E-06,0.008972309,0.144337567,0.153309877,0.001295041,41,3.172610901,775.2340426
0,0,0.062795802,1,0,0.062795802,0.001127396,0.03400102,0.707106781,0.741107801,0.024042352,0,1,887
1.448321715,0.001168224,0.063347092,0.055690932,2.25E-05,0.006039777,6.27E-06,0.008972309,0.137360564,0.146332873,0.001232441,15,8.318090331,2066.403846
0.098557939,2.49E-05,0.128721127,0.372113458,8.31E-06,0.079170565,1.07E-05,0.004999,0.5,0.504999,0.0024995,1,1.177458453,15746
1.35998689,0.015102481,0.060823084,0.027724888,0.000292288,0.003437589,3.71E-05,0.03400102,0.134839972,0.168840993,0.004584697,14,12.53935185,206.6296296
0.480442219,0.000290057,0.080879078,0.175977848,4.14E-05,0.044572375,1.16E-05,0.007621606,0.353553391,0.361174996,0.002694645,5,1.756128732,4324.571429
2.395152543,0.009219858,0.038610949,0.090222084,0.000514037,0.004000768,0.000213717,0.088388348,0.229415734,0.317804082,0.020277678,13,4.519685039,151.1111111
1.678636046,0.009042954,0.063408108,0.077245091,0.000365297,0.009573381,0.000100649,0.027745683,0.196116135,0.223861818,0.005441376,12,4.081664099,214.92
0,0,0.09896107,0.213718175,0,0.048911048,6.75E-06,0.004999,0.40824829,0.413247291,0.002040833,0,1.338648007,10745
1.796267374,0.001375095,0.037477576,0.052625323,2.81E-05,0.002634151,7.18E-06,0.008751751,0.141421356,0.150173107,0.001237684,18,6.496591344,1732.632653
5.596132099,0.024154589,0.072680827,0.023539229,8.57E-05,0.000720945,1.68E-05,0.022321651,0.055901699,0.07822335,0.001247818,55,49.3773679,311.4200627
0,0,0.096325978,0.250154208,0,0.055129371,0.000607173,0.049206783,0.447213595,0.496420379,0.022005942,0,1.162621359,119.75
0.084493733,7.81E-05,0.071480186,0.199559228,1.30E-05,0.039006667,1.83E-05,0.008972309,0.377964473,0.386936782,0.003391214,1,1.901618227,4069
0,0,0.319481332,1,0,0.319481332,0.00011439,0.010697788,0.707106781,0.717804569,0.007564478,0,1,8742
0.277620391,0.001520913,0.096662834,0.402904602,0.000507357,0.049088152,0.000358872,0.027745683,0.5,0.527745683,0.013872842,2,1.542372881,674.3333333
6.674301913,0.019704433,0.043495879,0.040807839,0.000137986,0.001322069,2.63E-05,0.018559936,0.082199494,0.10075943,0.001525617,60,18.83459683,384.9931973
1.647101829,0.001148369,0.034573543,0.102426202,6.38E-05,0.005756027,1.33E-05,0.008751751,0.229415734,0.238167484,0.002007789,15,3.154576791,2289.444444
0.167612371,0.00011632,0.25456254,0.336504395,3.88E-05,0.215530751,4.64E-05,0.010785786,0.5,0.510785786,0.005392893,1,1.096916812,3142.666667
0.366716783,0.000342936,0.069043786,0.119186867,3.81E-05,0.036986524,2.09E-05,0.010697788,0.316227766,0.326925554,0.003382938,3,1.164930754,1131.777778
0,0,0.216431307,1,0,0.216431307,7.81E-05,0.008972309,0.707106781,0.716079091,0.006344381,0,1,12803
8.030955578,0.020087884,0.016910528,0.031773101,7.41E-05,0.000469215,3.45E-05,0.018559936,0.071428571,0.089988508,0.00132571,64,13.62887664,195.3282051
3.174389205,0.002367798,0.024403957,0.010384828,2.02E-05,4.05E-05,0.000125509,0.129099445,0.028939954,0.158039399,0.003736132,18,186.2372881,5.529756915
1.624775257,0.000398416,0.030942756,0.035302426,5.95E-06,0.004482128,2.69E-06,0.004999,0.121267813,0.126266813,0.000606218,16,3.92645258,2356.925373
7.547359996,0.004435484,0.053716472,0.038770455,2.22E-05,0.002538548,5.11E-06,0.007621606,0.070359754,0.07798136,0.000536254,77,17.85767399,1532.447761
